Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist - Data Analytics,$114K - $152K (Glassdoor est.),"The Data Scientist - Data Analytics is responsible for generating insights and to augment decision making by the business. At Costco, we are on a mission to significantly leverage big data to provide better security products and services for our practitioners. This role is focused on advanced analytics, machine learning and data science delivery to support multiple InfoSec areas. This role will partner with Security Operations and other data owners to build, test advanced analytics solutions and turn data into actionable insights. The Data Scientist is a knowledgeable leader with an ability to lead and is passionate about data and using machine learning to solve security problems. The right candidate will have deep knowledge of applying data science for forecasting, customer analysis, item and inventory management and other areas of retail.
We are looking for a highly motivated, customer focused professional who wants to work in a fun and highly collaborative environment and willing to be the player as well as coach for the data science community at Costco.






Show More
Report","Costco Wholesale
4.0","Costco Wholesale
4.0","Seattle, WA",10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable
"Sr. Manager, Biomarker Data Scientist",-1,"Working with Us
Challenging. Meaningful. Life-changing. Those aren’t words that are usually associated with a job. But working at Bristol Myers Squibb is anything but usual. Here, uniquely interesting work happens every day, in every department. From optimizing a production line to the latest breakthroughs in cell therapy, this is work that transforms the lives of patients, and the careers of those who do it. You’ll get the chance to grow and thrive through opportunities uncommon in scale and scope, alongside high-achieving teams rich in diversity. Take your career farther than you thought possible.
Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees with the resources to pursue their goals, both at work and in their personal lives. Read more: careers.bms.com/working-with-us.


Show More
Report","Bristol Myers Squibb
3.9","Bristol Myers Squibb
3.9",New Jersey,10000+ Employees,1858,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
Data Scientist,-1,"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
Are you passionate about data and analytics?
Would you love to accelerate our efforts to build amazing experiences and software products in the Connected Vehicles space - with data?
We are seeking top-tier Data Science professionals, data driven, and detail oriented to help drive high quality feature development and support continuous improvements in customers experience with our products.


Show More
Report","Ford Motor Company
4.0","Ford Motor Company
4.0",United States,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Analyst,Employer Provided Salary:$50.00 - $53.00 Per Hour,"Title: Data Analyst

Location: ON-SITE Sterling Heights, MI

Pay/duration: $50.00 – $53.00 per hour / 12 month contract to hire

Industry: Military Vehicles

Data Scientist to support the Reliability Analytics team in support of developing tools and analysis of vehicle performance degrading drivers.

In this role, you will need strong customer empathy and an ability to focus on Reliability, Logistics and Engineering priorities. This position will interface directly with both internal and external customers at all levels.
Data Scientist supporting a team through the development of machine learning algorithms and automated tooling.
Candidate will also aid in the development and maintenance of user interfaces with predictive analytics capabilities.
The successful candidate will research, develop, validate, and document complex data relationships in a data warehouse environment.
The candidate will utilize all parts of the data analysis pipeline, such as data collection, cleaning, analysis, visualization, and presentation to deliver critical insights to internal and external customers.

Develop statistical and machine learning models for predicting and forecasting field failures.
Use predictive modeling to optimize customer supportability requirements and manufacturing revenue generation.
Develop business matrices and dashboards that portray the data and models to someone with a minimum technical background.
Work cross-functionally with the cloud data infrastructure, IT, and other data stakeholders to drive implementation of data interfaces.
Develop strong partnerships with design, service, manufacturing, testing and other engineering teams across the organization to promote a data driven mindset in decision making around product development, design improvements, and servicing strategies.

Position Requirements:

Bachelor’s degree in one of following: Mathematics, Computer Science, Information Science, Statistics, Data Analytics or an Engineering discipline.
Experience SQL or any querying language, Data Analytics, Data Science, Data Engineering Technologies, ETL
5 - 7 years experience of professional experience; or 3 years of professional experience with a related Master’s Degree.
Strong fundamentals in software engineering with Python (pandas, numpy, plotly, pyspark, etc.)
Knowledge of statistical and machine learning concepts, experience with developing predictive models.

Preferred Requirements:

Experience with large data systems, such as SQL/T-SQL, Hadoop, Presto, Kafka or Spark Engine (Azure Synapse/Databricks/HDInsight or other distributions)
Experience working with Azure Storage, Data Lake, Cosmos DB or Data Warehouses
Power BI and Data Modeling
Experience working on DevOps (Version Control, CI/CD)
Experience with Azure, AWS or GCP
Show More
Report","Advantage Technical
3.8","Advantage Technical
3.8","Sterling Heights, MI",201 to 500 Employees,1969,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
Lead Data Scientist,Employer Provided Salary:$115K - $230K,"Develops complex algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes

Performs analyses of structured and unstructured data to solve multiple and complex business problems

Utilizing advanced statistical techniques and mathematical analyses and specialized expertise in the organization and/or industry

Applies analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques

Manages large and complex analytical projects from data exploration, model building, performance evaluation and testing

Behaves as mentor to junior team members to provide technical advice

Collaborates with business partners to develop technical /business approaches and new or enhanced technical tools

Interacts with internal and external peers and management to share highly complex information related to areas of expertise and/or to gain acceptance of new or enhanced technology / business solutions


The typical pay range for this role is:
Minimum: 115,000
Maximum: 230,000

This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit


6+ years of relevant analytic experience

6+Experience programming using R or Python

6+Experience in SAS or SQL


Demonstrates proficiency in all areas of mathematical analysis methods, machine learning, statistical analyses, and predictive modeling and advanced in-depth specialization in some areas

Strong skills to effectively communicate and negotiate across business and in the external health care environment

Excellent analytical and problem-solving skills

Strong organizational, management and leadership skills

Deep knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources

Solid understanding of health care industry, products, and systems

Demonstrates a strong ability to communicate technical concepts and implications to business partners


Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master’s degree or PhD preferred


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.
Show More
Report","CVS Health
3.1","CVS Health
3.1","New York, NY",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Senior Data Scientist,$139K - $194K (Glassdoor est.),"The ideal candidate will have a strong background in data analytics, online experimentation, inference, and quantitative methods. In addition, hands-on ability to push production code with sound engineering fundamentals would be nice to have.You will collaborate closely with a vibrant cross-functional team (ML engineers, data engineers, designers and product managers).
If you are looking to apply state-of-the-art Data Science techniques to novel products leveraging AI/NLP, we have the opportunity for you.
Who we are
Moveworks is on a mission to make language the universal UI. We give enterprises a conversational interface that works across every system — from Microsoft to Workday to Salesforce. Powered by GPT-class machine learning models, the Moveworks platform learns the unique language of each organization to solve thousands of use cases. Brands like Databricks, Broadcom, DocuSign, and Palo Alto Networks leverage Moveworks’ proprietary enterprise data, out-of-the-box solutions, and intuitive developer tools to bring conversational automation to all aspects of their business.
Show More
Report","Moveworks.ai
3.9","Moveworks.ai
3.9","Mountain View, CA",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Data Scientist,-1,"Posting Date: Aug 9, 2023
Location: Remote work, DE
Remote, GB
Business Area: Supply Chain Software
Company: Körber Supply Chain Software GmbH
Senior Data Scientist
We are looking for a senior data scientist with a strong background in forecasting and optimization to support the product development of our data and AI driven solutions in the supply chain management area. If you have a passion for AI, software engineering and modern software development principles you could be a great fit for our team.

Your role in our team



Show More
Report","Körber
3.2","Körber
3.2",Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Artificial Intelligence / Machine Learning Engineer (Remote),Employer Provided Salary:$130K,"Location: 100% U.S. remote or open to local candidates near Broomfield, CO. Will require quarterly travel to HQ office at 350 Interlocken Blvd, Broomfield, CO 80021.
Salary: $100,000 – $150,000 annual salary commensurate with experience plus generous full benefits
Reports to: General Manager of Engineering - AI / ML Division

Why ikeGPS?
Comprehensive benefits package that includes medical, dental, vision, 401K + match, 3 weeks starting Paid Time Off (PTO), and generous parental leave







Show More
Report","ikeGPS
3.7","ikeGPS
3.7",Remote,51 to 200 Employees,-1,Company - Public,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Senior Data Scientist,$118K - $161K (Glassdoor est.),"As the Senior Data Scientist , you will help shape the architecture, data engineering, and insights for a new company, the WK Kellogg Company .This role will help us define and execute our data strategy and standards for WK Kellogg Company by building and maintaining data integrations from and to source systems and building data processing solutions that enable self-service reporting and advanced analytics. Location preference is Chicago, IL Metropolitan Area or Battle Creek, MI.

Kellogg is progressing toward unleashing our full potential by the end of 2023. After this portfolio transformation journey is complete, this role will support WK Kellogg Co., a leading food company in the U.S., Canada, and Caribbean with a portfolio of iconic, world-class brands. Learn more about our bold next steps at UnleashingOurPotential.com.













Show More
Report","Kellogg Company
3.9","Kellogg Company
3.9","Battle Creek, MI",10000+ Employees,1906,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Sr. Data Scientist,-1,"Job Brief
**Selected candidate for this position will be eligible for a one-time sign on bonus of $2,000.00**
The Alaka`ina Foundation Family of Companies (FOCs) is looking for a Senior Data Scientist to support our government customer located in Falls Church, VA , San Antonio, TX or remote.
**Selected candidate for this position will be eligible for a one-time sign on bonus of $2,000.00**
The Alaka`ina Foundation Family of Companies has partnered with the Defense Health Agency (DHA) to deliver world class, data-driven decision science analytics of military healthcare operations and the delivery of healthcare services worldwide. Alaka`ina and its partners will lead with way for DHA to expand its current analytical services to incorporate leading-edge technologies and advanced skills.

Show More
Report","Alaka`ina Foundation Family of Companies
3.7","Alaka`ina Foundation Family of Companies
3.7",United States,1001 to 5000 Employees,-1,Government,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable
Senior Data Scientist,$111K - $149K (Glassdoor est.),"Senior Data Scientist
Greensea is revolutionizing ship husbandry using autonomous robots and artificial intelligence. Through a subscription service called EverClean, Greensea robots
continuously clean ship hulls and provide regular hull surveys. Clean ship hulls result in substantially reduced operating costs, lower carbon emissions, and reduced environmental impacts while regular survey data provides the intelligence ship owners need to make on-time maintenance decisions. Using robots that are resident on ships and within ports and harbors that are supervised by remote operations specialists,
Greensea’s service is scalable worldwide at a fraction of the cost required by traditional husbandry methods.
A key deliverable of Greensea’s service is a cloud-based intelligence platform called EverClean IQ. This product allows ship owners and operators to get unprecedented access to the health and status of their hulls, enabling them to make more accurate decisions about cleaning frequency and maintenance events. Using the data collected from the hull, Greensea IQ is creating object recognition and machine learning models to enable ship owners to predict fouling levels and maintenance events to ensure that ships are running as efficiently as possible, saving fuel and reducing the global shipping industry’s greenhouse gas emission footprint.
Show More
Report","Greensea Systems
5.0","Greensea Systems
5.0","Plymouth, MA",1 to 50 Employees,2006,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",Employer Provided Salary:$100K - $159K,"Signal Systems Corporation (SSC) is searching for highly motivated engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of Naval applications. You will work alongside scientists and experts in the field to implement new technologies and deliver highly impactful solutions that are changing the state of the art. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide engineering solutions for both government and commercial customers in underwater, sonic and ultrasonic domains.
As a Signal Processing Algorithm Engineer, you will…
Research, design, develop, test, document, and maintain algorithms and software related to active and passive acoustics
Show More
Report",Signal Systems Corporation,Signal Systems Corporation,"Millersville, MD",-1,-1,-1,-1,-1,-1
Data Science Project Manager,Employer Provided Salary:$130K - $160K,"The Data Science Project Manager will support the Department of State (DOS) Center for Analytics (CfA) in a dynamic role that may evolve over time, as the organizational needs change. The Data Science Project Manager is ideally an early/mid-career data scientist with solid fundamentals of data science coupled with exceptional organizational, professional, and personal skills. The Data Science Project Manager needs a do-whatever-it-takes attitude, knowing they will get valuable exposure to senior data scientists and a wide variety of important data science projects.
The Data Science Project Manager will support the DOS Chief Data Scientist, who has a broad set of responsibilities and duties. The Data Science Project Manager will support the Chief Data Scientist as a facilitator, organizer, coordinator, advisor, and general support in meetings, working groups, and technical environments.
The Chief Data Scientist is responsible for technical oversight the dozens of data projects of varying size, scope, and complexity in the CfA project pipeline. The Data Science Project Manager will track these projects on behalf of the Chief Data Scientist, while coordinating with CfA’s cross-functional staff on schedules, documentation, responsibilities, and other project logistics.
Show More
Report",Bright Star Solutions LLC,Bright Star Solutions LLC,"Washington, DC",-1,-1,-1,-1,-1,-1
Operations Planning & Analysis Manager,Employer Provided Salary:$95K - $110K,"General Definition: The role of the Operational Performance Manager encompasses a wide range of responsibilities aimed at improving operational efficiency and driving/expanding the business forward.
Responsibilities include generating and analyzing operational reports on a day-to-day basis to provide insights into key performance indicators (KPIs), operational metrics, and trends, enabling the organization to track progress and identify areas for improvement. The manager is also involved in developing forecasts for various operational aspects, such as demand, resource utilization, or performance output by leveraging historical data and market trends and providing accurate projections that help guide decision-making and resource allocation.
Supervision Received: Sr. Vice President of Operations
Supervision Exercised: N/A
Show More
Report","Global Gaming Solutions, LLC","Global Gaming Solutions, LLC","Oklahoma City, OK",-1,-1,-1,-1,-1,-1
"Associate Director, Data Science (Biomarker, Omics)",Employer Provided Salary:$192K - $288K,"200+ compounds are supported by the quantitative drug developers in Early Development Analytics at Novartis. We transform data from multiple sources - clinical, biomarker, digital sensor, imaging - into analyses and insights that build the basis for making innovative drugs accessible for patients. We influence decision-making in cross-functional international teams from early to late phase drug development.

The Early Development Analytics group is searching for an Associate Director Data Scientist. As the successful candidate, you will drive the biomarker strategy for early and late development clinical programs in multiple indications or a disease area, working closely with interdisciplinary teams to analyze and interpret biomarker data to inform critical project decisions and understand mechanisms of response/resistance to therapy. You will be responsible for designing and executing the biomarker strategy in those programs to inform drug development, and you will set the strategy for addressing biomarker issues in early/late phase trials, regulatory submissions and directly influence drug development decisions with internal and external partners.

What you’ll be doing: Your responsibilities include, but are not limited to:

This position will be located at the Cambridge, MA site and will not have the ability to be located remotely. This position may require 1% travel as defined by the business (domestic and/ or international).










Show More
Report","Novartis
4.0","Novartis
4.0","Cambridge, MA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$130K - $160K,"Job Title: Data Scientist
Experience Levels: 5+ years
Location: Located in Doral, FL
Clearance: TS/SCI
We seek a dedicated and proactive technical subject matter expert to work in all stages of the data development lifecycle for advanced analytics projects including Big Data, artificial intelligence/machine learning, and other applications to advance current platform capabilities within multiple classification domains. Use data enrichment techniques to feed RDF triplestore and manage data with graph database. Uncovers and explains actionable insights from data by combining scientific method, math and statistics, specialized programming, advanced analytics, AI, and storytelling.
Show More
Report","Quiet Professionals LLC
4.5","Quiet Professionals LLC
4.5","Doral, FL",201 to 500 Employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD)
Sr. Software Engineer,$86K - $136K (Glassdoor est.),"The Alaka`ina Foundation Family of Companies (FOCs) is looking for a qualified Sr. Software Engineer to support our government customer located at Kirtland Air Force Base in Albuquerque, NM. This position will be on site.
Are you a data scientist that wants to explore some problems in natural language processing, image, and/or video analysis? Do you feel constrained by people that don’t “trust data machine learning” and just want to break free to clean, process, analyze, and learn on exotic data to your heart’s content?
We’ve got millions of documents that need to be digitized, OCRed, and analyzed using machine learning for information like, titles, authors, etc. but we also want to automatically extract and create time-series data from pictures of graphs! Plus, we fully endorse exploration of transformer models to semantic reasoning over this textual data.


Show More
Report","Alaka`ina Foundation Family of Companies
3.7","Alaka`ina Foundation Family of Companies
3.7","Kirtland AFB, NM",1001 to 5000 Employees,-1,Government,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable
Data Scientist (V),Employer Provided Salary:$140K - $180K,"DCI Job Requirement for:
Data Scientist
Location: APG, MD
Job Description
Serve as a Data Scientist for C5ISR Sustainment
Develop and implement natural language processing models for cyber defense
Manage large technical projects, including:
Scoping work
Interfacing with other teams
Show More
Report","DCI Solutions
3.7","DCI Solutions
3.7","Aberdeen, MD",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Data Scientist with Full Scope Polygraph (! US Citizen / Top Secret Only ),Employer Provided Salary:$190K - $205K,"Data Scientist with Full Scope Polygraph
Location: Chantilly, VA
Security Clearance: Fullscope Polygraph
The Data Scientist will serve on the intelligence analysis staff for a U.S. Federal Government Agency working with classified media. This position will work with a team of designers, engineers, architects, and data scientists to query and structure data, apply algorithms to develop machine learning models, develop metrics and data visualizations, and deploy visualization products to web-based environments.
The Data Scientist will have a strong background in technology, the ability to structure data for reporting, and a strategic view for how to present analytic results to customers.
Show More
Report",Wallach Search,Wallach Search,"Chantilly, VA",-1,-1,-1,-1,-1,-1
Senior Data Scientist (Computer Science),Employer Provided Salary:$110K - $160K,"Near-Miss Management (NMM) is seeking a talented and highly motivated Senior Data Scientist to further develop and scale its unique web-based data analytics platform. NMM provides powerful analytics software, based on machine learning and AI, to the chemical and energy industry – to improve reliability, and minimize failures and losses.
Within our engineering team, your voice will be a valuable asset to product development. You will be in a unique position to define/undertake technical needs of the software and help shape the future of its technology. You will enjoy an intellectually creative atmosphere as you work with an experienced and enthusiastic team that strives continuously to build and deliver a robust, reliable software system.
Responsibilities
One of the main responsibilities of this role is development of a new flagship product in Python using the Scipy/Numpy/Pandas stack. Further, you will be responsible for leading our efforts in improvement of existing data analytics and machine-learning models (implemented in Python using the Scipy/Numpy/Pandas stack). Aside from analytics, another important aspect of the role involves enhancement of the existing processing pipeline, which executes the analytics in a parallelized and distributed fashion – you will assist in refining that pipeline on an ongoing basis as new features and products are developed.
Show More
Report",Near-Miss Management,Near-Miss Management,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
Lead Data Scientist,Employer Provided Salary:$149K - $200K,"Job Overview
Data Scientists at Disney are the insights and modeling partners for the growth, content, marketing, product, and engineering teams at Disney, Hulu and ESPN+. They use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. Scientists on the team build models, perform statistical analysis, and create visualizations to provide scalable, persistent capability that is iteratively improved through direct interaction with cross-functional business partners.
As a lead data scientist in the Ads Data Solution Research team, you will be partnering closely with the Sales Analytics, Finance, Business Operations, Commerce Product and Engineering teams to develop models for tackling a multitude of exciting challenges, including revenue, inventory, delivery, outcome, pricing of advertising, customer lifetime value estimation, forecasting, fraud prevention and mitigation, and more. We look for someone with deep analytical and modeling expertise, a proven track record of thought leadership and eagerness to drive impact.

The hiring range for this position in Santa Monica, California is $149,240 - $200,200 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.
Show More
Report","Disney Media & Entertainment Distribution
3.9","Disney Media & Entertainment Distribution
3.9","Santa Monica, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
Polymer Lab Specialist Level 3,Employer Provided Salary:$92K,"Additive Manufacturing Polymer Lab Specialist Level 3
Job Description:
This is a full-time Polymer Lab Specialist Level 3 position, reporting to the Principal Materials Engineer. The Lab Specialist will work under supervision during the first year and will be expected to work with full autonomy and independence over time.
We are seeking an intrinsically motivated, data oriented and hands-on individual possessing strong critical thinking skills, who desires to thrive in an industrial R&D, laboratory and advanced manufacturing setting. This individual must be able to lead the expansion of our materials development and testing capabilities and proficiency in multi-disciplinary environment supporting our need for novel materials and product solutions for large scale AM systems. Seeking to fill position immediately.
Show More
Report",Center Street Technologies,Center Street Technologies,"Youngstown, OH",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$80K - $105K,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Job purpose
Celink is rapidly building proprietary servicing system on AWS and automating manual servicing processes. Data is a critical part of our business and influences every aspect of the work that we do. The Data Management (DM) team is hiring a Data Scientist to focus on data analytical efforts. This role must ensure the successful completion of multiple statistical/analytical models that can be applied on Celink Data Lake that will provide insights for business operations.
As a Data Scientist, you will analyze complex mortgage and servicing operations data sets to extract valuable insights that can assist in making data-driven business decisions. You will need to understand the analytical use case and collaborate with available resources to comprehend the available data and determine the most suitable statistical/analytical model for the job. You will perform feature engineering and model selection. Once you have tested the model and obtained the desired results, you will present them using visualization tools like Power BI and “productionalize” the model for automated insights.

Show More
Report",Celink,Celink,Remote,-1,-1,-1,-1,-1,-1
Data Quality Engineer - All-Payor Claims Database - Hybrid,Employer Provided Salary:$81K - $121K,"What we do here changes the world. UTHealth Houston is Texas’ resource for healthcare education, innovation, scientific discovery, and excellence in patient care. That’s where you come in.
We are seeking a Full-Time Data Quality Engineer to join the UTHealth Center for Healthcare Data as part of the School of Public Health in Houston, TX 77030. This is a hybrid position that requires the employee to reside in Texas. In this position, you will join a fantastic team that strives to make a meaningful difference in the quality of data available to researchers doing innovative healthcare research. The Data Quality Engineer is a skillful team player with a clear track record of transforming big data into actionable insights, which leads to improvements in data quality and associated standards and processes. This individual is a deliberate and systematic scientist who can clearly articulate the goals of the data quality program, practice with rigor and precision, and maintain a balanced/independent point of view to achieve targeted data quality standards.
It’s because we reward our team for the excellent service they provide. Our total rewards package includes the benefits you’d expect from a top healthcare organization (benefits, insurance, etc.), plus:


Show More
Report","UTHealth Houston
3.8","UTHealth Houston
3.8","Houston, TX",5001 to 10000 Employees,1972,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
E-commerce Data Scientist - Health and Wellness - California REMOTE,Employer Provided Salary:$110K - $130K,"THE ROLE: E-commerce Data Scientist
Stingray Direct, a dynamic and fast-growing e-commerce company, is seeking a skilled Ecommerce Data Scientist to join our team. We aim to optimize the customer experience and drive business growth by leveraging data and advanced analytics. A successful candidate will have extensive experience in analyzing key ecommerce and subscription metrics, conducting A/B tests, data modeling, and machine learning. Proficiency with Excel, SQL, Python, and Google Analytics is a must.
*
Requirements*
KEY E-COMMERCE DATA SCIENTIST RESPONSIBILITIES:
Design, manage, and interpret comprehensive analyses related to the customer lifecycle, focusing on key subscription and e-commerce metrics.








Show More
Report",Stingray Direct,Stingray Direct,California,-1,-1,-1,-1,-1,-1
Senior Data Scientist/Methodologist,Employer Provided Salary:$200K - $280K,"The Senior Data Scientist/Methodologist will support the Department of State (DOS) Center for Analytics (CfA) in a dynamic role that may evolve over time, as the organizational needs change. The DOS Chief Data Scientist has a broad set of responsibilities and duties that require support from a professional and technical staff, of which the Senior Data Scientist/Methodologist a senior member. The primary responsibility of the Senior Data Scientist/Methodologist will be to support the Chief Data Scientist as advisor, subject matter expert, and surrogate in meetings, working groups, and technical environments. The Senior Data Scientist/Methodologist will evaluate data science projects, provide recommendations and improvements to the Chief Data Scientist and/or analytics project staff, working closely with them to implement improvements as necessary.
The Senior Data Scientist/Methodologist will evaluate, recommend, and support the implementation of technology stack and software toolset optimizations and additions. The Senior Data Scientist/Methodologist lead or independently execute analytics projects, as needed. The Senior Data Scientist/Methodologist will provide expert input on Large Language Models (LLM), Natural Language Processing (NLP), Artificial Intelligence/Machine Learning (AI/ML), data science models, and other technical topics.

Show More
Report",Bright Star Solutions LLC,Bright Star Solutions LLC,"Washington, DC",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$105K - $147K (Glassdoor est.),"Setting the Standard for Exceptional Care
For ninety years, Silver Hill Hospital has been at the forefront of psychiatry and leading the way in providing the best treatment for psychiatric illnesses and addiction. Our track record of success is based on a carefully executed team effort, one that uses an array of powerful tools, talent and knowledge to help people turn their lives around. We have opportunities available for individuals who have a passion to make a difference in the lives of our patients.
Senior Data Scientist
Silver Hill Hospital is seeking an experienced and detail-oriented Senior Data Scientist to join our Information Technology (IT) team. The Senior Data Scientist will be responsible for building and maintaining the organization's data assets and implementing data visualization strategies to ensure Silver Hill Hospital operates at peak efficiency. The ideal candidate will have a strong background in IT and data science, as well as excellent communication, organization, and analytical skills.




Show More
Report","Silver Hill Hospital
4.1","Silver Hill Hospital
4.1","New Canaan, CT",201 to 500 Employees,1934,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD)
Data Scientist III,-1,"POSITION SUMMARY:
The Data Scientist III demonstrates leadership skills and the ability to mentor and guide junior data scientists. This includes providing guidance on complex projects, sharing best practices, and fostering a collaborative and supportive environment. Data Scientist III contributes to strategic decision-making processes by leveraging their advanced data analysis skills and understanding of the business domain. They are able to translate data insights into actionable recommendations that align with organizational goals. Additionally, the Data Scientist III remains up-to-date with the latest advancements in the field of data science and contributes to research and innovation within the organization. The individual in this position has the ability to tackle complex and ambiguous business problems by developing advanced analytical models and leveraging sophisticated techniques. This includes utilizing machine learning, deep learning, natural language processing, or other advanced methods to extract insights and drive impactful decision-making.
Show More
Report","Les Schwab Headquarters
3.3","Les Schwab Headquarters
3.3","Bend, OR",5001 to 10000 Employees,1952,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale,$100 to $500 million (USD)
Data Scientist,Employer Provided Salary:$70.00 - $80.00 Per Hour,"Role Summary:
This role will support and drive growth within the Advanced Analytics team, which is focused on using quantitative models to support business decisions. This is an exciting role to participate in a newly developed department and to shape how Advanced Analytics is used to support Buckeye’s safety, operations, and financial goals in multiple lines of business.
Responsibilities & Essential Functions include:
· Partner with Subject Matter Experts in various lines of business to identify opportunities to apply quantitative methods, automation solutions and analytical frameworks to improve business performance and process efficiencies
· Use foundational data science methodologies and input from Subject Matter Experts to identify relationships/drivers in data assets to improve key metrics of safety, predictive failure detection, asset performance, and financial forecasting
Show More
Report",Neo Technologies LLC,Neo Technologies LLC,"Allentown, PA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$130K - $155K,"The Data Scientist will be required to:
Interpret and analyze data using exploratory and statistical techniques.
Develop, implement and utilize data systems and other strategies that optimize statistical efficiency and data quality.
Develop innovations in data analysis techniques.
Analyze and interpret trends or patterns in complex data sets.
Develop data modeling methods.
Work with data scientists to coordinate multifaceted scientific research and analytic activities that provides scientific and technical consultation.
Qualifications
Show More
Report","Buchanan & Edwards
4.0","Buchanan & Edwards
4.0","Washington, DC",201 to 500 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
